Name,Date,Rating,Title,Review
Preeti B. 🇮🇳,Published date07/10/25,5,The face wash is really,"The face wash is really good, I'm writing this review after using it for 1 month and it really worked wonders for me, I've acne issue and mainly those under the skin one (hormonal acne) i do get those but because of this facewash my pimples won't last more than 3 days, it's really great. . . . I wou..."
게임존 🇮🇳,Published date27/09/25,5,Worst purchasing experience,"Product is good but the main problem is the worst purchasing experience I was scammed in the name of minimalist support person and forced me to pay 6000/- since the person already have my name, order I'd, purchase products details, I have to believe on it and woo. . . I got scammed and even the mini..."
tanya k. 🇮🇳,Published date06/10/25,5,Amazing product,"It is really a heaven for people with acnes and it also somehow promote the skin texture 
I just love this product 
But after listening all this please don't raise price"
RITIK C. 🇮🇳,Published date01/10/25,5,Nice,"Best product i have ever use works great and quality us good ,doest react or cause any problem"
Srikar P. 🇮🇳,Published date06/10/25,5,Well so far it's a,Well so far it's a good product
